chapter,q_type,text,options,answer
第六章 习题-副本,单选题,1 ( )是根据我国发展阶段、环境、条件变化提出来的，是重塑我国国际合作和竞争新优势的战略抉择。,A、 新发展阶段||B、 新发展理念||C、 新发展格局||D、 新发展时期,C
第六章 习题-副本,单选题,2 国有企业是中国特色社会主义的重要物质基础和政治基础，关系( )地位的巩固，关系我们党的执政地位和执政能力，关系我国社会主义制度。,A、 社会发展主体||B、 经济体制主体||C、 人民主体||D、 公有制主体,D
第六章 习题-副本,单选题,3 现代化经济体系必须坚持质量第一、( )优先。,A、 速度||B、 人才||C、 利益||D、 效益,D
第六章 习题-副本,单选题,4 ( )是实现高质量发展的指导原则。,A、 新发展理念||B、 新发展方位||C、 新发展阶段||D、 供给侧改革,A
第六章 习题-副本,单选题,5 建设充分发挥( )，更好发挥政府作用的经济体制。,A、 市场作用||B、 社会福利补给||C、 服务业动能||D、 社会作用,A
第六章 习题-副本,单选题,6 经济改革的方向是要让( )在资源配置中发挥决定性作用。,A、 科技||B、 政府||C、 市场||D、 创新,C
第六章 习题-副本,单选题,7 ( )是化解我国经济发展面临困难和矛盾的重大举措。,A、 健全民主法制||B、 供给侧结构性改革||C、 人民主体地位||D、 社会公平正义,B
第六章 习题-副本,单选题,8 构建高水平社会主义市场经济体制，关键是要( )。,A、 处理好政府和市场的关系||B、 处理好当前利益和长远利益的关系||C、 处理好中国和外国的关系||D、 处理好效率和公平的关系,A
第六章 习题-副本,单选题,9 ( )的发展理念，相互贯通、相互促进，是具有内在联系的集合体，要统一贯彻，不能顾此失彼，也不能相互替代。,A、 创新、和谐、绿色、开放、发展||B、 改革、和谐、绿色、开放、共享||C、 创新、协调、和谐、开放、共赢||D、 创新、协调、绿色、开放、共享,D
第六章 习题-副本,单选题,10 我们乘势而上开启全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军，这标志着我国进入了一个( )。,A、 新发展格局||B、 新发展阶段||C、 新发展方位||D、 新发展时期,B
第六章 习题-副本,单选题,11 我国经济已由高速增长阶段转向( )，正处在转变发展方式、优化经济结构、转换增长动力的攻关期。,A、 高质量发展阶段||B、 低速阶段||C、 高水平发展阶段||D、 中高速阶段,A
第六章 习题-副本,单选题,12 党的十八大以来，我国经济已由高速增长阶段转向()阶段。,A、 高水平开放||B、 高质量发展||C、 强动力转换||D、 世界级市场,B
第六章 习题-副本,单选题,13 ( )是发展行动的先导。,A、 发展策略||B、 发展方向||C、 发展理念||D、 发展格局,C
第六章 习题-副本,单选题,14 ()是引领发展的第一动力。,A、 劳动力||B、 科技||C、 创新||D、 资本,C
